,place_name,price_usd_per_m2,surface_total_in_m2,lat,lon,floor,rooms,description,title,avenida,amenities,balcon,gimnasio,SUM,cochera,parrilla,pileta,patio,terraza,lavadero,Belgrano,Nuñez,Palermo,Palermo Hollywood,Recoleta,surface_total_in_m2_2,distancia_obelisco,habitaciones
7,Belgrano,3066.666666666666,45.0,-34.5598729,-58.443362,,1.0,"EXCELENTE MONOAMBIENTE A ESTRENAR AMPLIO SUPER LUMINOSO ...PISO ALTO COCINA AMERICANA. BAÑO COMPLETO PILETA ,SOLARIUM, LAUNDRY APTO PROFESIONALPROXIMO AV DEL LIBERTADOR  MUY BUENA ZONA !!!! Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).","JOSE HERNANDEZ 1400 MONOAMBIENTE  ESTRENAR CATEGORIA , VENTA",1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2025.0,7344.733629724598,
8,Belgrano,3000.0,65.0,-34.5598729,-58.443362,,2.0,"EXCELENTE DOS AMBIENTES  ESTRENAR AMPLIO SUPER LUMINOSO ...PISO ALTO COCINA AMERICANA. BAÑO COMPLETO PILETA ,SOLARIUM, LAUNDRY APTO PROFESIONALPROXIMO AV DEL LIBERTADOR  MUY BUENA ZONA !!!! Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).","JOSE HERNANDEZ   1400 DOS AMBIENTES ESTRENAR , CATEGORIA , VENTA",1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4225.0,7344.733629724598,
19,Palermo,3365.384615384615,104.0,-34.580503566,-58.4058744847,,3.0,Excelente semipiso al contra frente en Bulnes y Libertador. Espectacular pulmón muy luminoso con árboles. Buen edificio con entrada reciclada hace dos años. Hall de entrada. Living comedor de muy buenas dimensiones con salida al balcón aterrazado. Toilette de recpeción. Master Suite muy grande con vestidor y gran baño (revestimientos de marmol) también al frente. Segundo dormitorio o escritorio (chico) a aire luz muy luminoso. Muy linda cocina con muebles alemanes. Pisos de parquet. Persianas eléctricas. Aislación acústica en paredes. Detalles de muy buena calidad. Baulera común. La unidad originalmente era de dos dormitorios pero fue refaccionada al plano actual (master suite más dormitorio chico o escritorio). Impecable! ,"Bulnes y Libertador: espectacular pulmón, con balcón aterrazado reciclado a nuevo!",0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10816.0,3029.007200202655,
21,Palermo,2292.372881355933,118.0,-34.590926,-58.4116653,,4.0,"EXCELENTE ZONA, MULTIPLES MEDIOS DE TRANSPORTE - DOS PATIOS - MUY BUEN ESTADO - A CUADRAS DE AV.SANTA FE.",Departamento de 4 ambientes en Venta en Palermo,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13924.0,3434.8269301344926,
60,Nuñez,3460.0,50.0,-34.553577600000004,-58.45551139999999,,2.0,"ESPECTACULAR DEPARTAMENTO DE 2 AMBIENTES CON COCHERA PARA INVERSION. EN HERMOSA ZONA DE BELGRANO./NUÑEZ. ZONA MUY TRANQUILA. EL DEPTO ES UN HERMOSO 2 AMBIENTES BIEN DEFINIDOS CON MUY BUENOS DETALLES DE TERMINACION Y BUEN GUSTO. EL DEPTO ESTA UBICADO AL CONTRAFRENTE CON ORIENTACIÓN ESTE, Y VISTA A UN HERMOSO Y AMPLIO PULMÓN. EL PISO ES DE MADERA NATURAL, EUCALIPTUS ROSTRADA, PULIDO Y PLASTIFICADO. LAS CARPINTERÍAS DE ALUMNIO ANODIZADO,”COCINA A GAS”MARCA LONGVIE, GRAN CANTIDAD DE ALACENAS , 2AIRES ACONDICIONADO, CONEXION PARA LAVARROPAS, BALCON ATERRAZADO!!! COCHERA FIJA DESCUBIERTA ES REALMENTE DIVINO ¡!!!! EL EDIFICIO CUENTA CON UNA GRAN DECK CON SOLÁRIUM, PISCINA EN EL ÚLTIMO PISO, JACUZZI SUM ACTUALMENTE ALQUILADO CON MUY BUENA RENTA BAJAS EXPENSAS VALOR DE VENTA U$S 173.000","VENTA 2 AMB  CON COCH, PISCINA  PARA INVERSION.MUY BUENA RENTA",1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,2500.0,8742.081077812089,
200,Recoleta,1938.7755102040808,196.0,-34.5994274,-58.4015856,,7.0,Los equipos de aire acondicionado no estan incluidos en el precio de venta.Semipiso. Living. Comedor. 4 dormitorio(s) 1 en suite. 2 baño(s) 1 toilette(s). Entre medianeras. Al frente. S/av. principal.  Antiguo.  Luminoso.  En muy buen estado. Orientación Suroeste. Antigüedad 80 años. ,Semipiso. Living. Comedor. 4 dormitorio(s) 1 en suite. 2 baño(s) 1 toilette(s). Entre medianeras. Al frente. S/av. principal.  Antiguo.  Luminoso.  En muy buen estado. Orientación Suroeste. Antigüedad 80 años. ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38416.0,2243.599137362808,
210,Belgrano,4210.526315789473,57.0,-34.5620844,-58.4566864,,2.0,"DUPLEX CON COCHERA FIJA CUBIERTA 3 AÑOS DE ANTIGUEDAD EDIFICIO ENTRE MEDIANERAS, CONTRAFRENTE CON ORIENTACION NORESTE, LUZ Y SOL TODO EL DIA, CON VISTA ABIERTA 1 DORMITORIO LIVING COMEDOR COCINA AMERICANA BAÑO EN SUITE VESTIDOR TOILETTE BALCON ESTILO ATERRAZADO CON PARRILLA PROPIAPISOS DE PORCELANATO CALEFACCION POR AIRE FRIO/CALOR, 2 EQUIPOS INSTALADOS AGUA CALIENTE CENTRAL CERRAMIENTOS DE ALUMINIO EXCELENTE UBICACION CON SALIDA A AVENIDA CABILDO Y AVENIDA LIBERTADOR, POR EL NUEVO PASO A NIVEL A 50MTS DE LA PLAZA, Y DEL NUEVO EMPRENDIMIENTO DE MIRABILIA DE BELGRANO QUE SERA UNA GRAN PUESTA A VALOR DEL BARRIO COLECTIVOS: 15, 29, 107, 114, 130 TRENES: BELGRANO C (MITRE) SUBTE: CONGRESO DE TUCUMAN (LINEA D) EL MONTO DE LA EXPENSAS INCLUYE EL VALOR DE LA COCHERA Las medidas son Aproximadas y al solo efecto orientativo, las definitivas surgirán del Plano de Mensura y Subdivisión. Para mayor información no dude en contactarnos. Importante: La venta del Inmueble referido se encuentra sujeta a la tramitación del Código de Oferta de Transferencia de Inmuebles (C.O.T.I.) por parte del propietario. ",2 Ambientes Venta Belgrano Cochera Cubierta,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,3249.0,8713.730783967952,
216,Belgrano,3437.5,160.0,-34.5621457,-58.449657,,4.0,"Piso de categoría en Barrancas del Belgrano, excelente calidad de obraExcelente ubicación2 cocheras fijas cubiertas + bauleraPisos de maderaLiving comedorCocina comedorDependencia de servicio con bañoLavadero independienteEntrada de servicioPersianas de maderaPlacares reciclados con puertas corredizasDormitorio en suite2 cocheras fijas cubiertas con acceso por rampa en el 1er subsueloIntercomunicador entre dormitorio con la dependenciaBaño principal con jacuzzi, 2do baño con ducha escocesaToiletteAgua caliente centralCalefaccion por losa radianteAire acondicionados instalados en los dormitoriosPalier PrivadoExpensas: $7300ABL: $2000Las medidas son Aproximadas y al solo efecto orientativo, las definitivas surgirán del Plano de Mensura y Subdivisión. Importante: La venta del Inmueble referido se encuentra sujeta a la tramitación del Código de Oferta de Transferencia de Inmuebles (C.O.T.I.) por parte del propietario. ","Piso Barrancas de Belgrano Venta 2 cocheras fijas cubiertas, baulera, 3 dormitorios y dependencia",1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,25600.0,7963.914513532617,
219,Belgrano,3548.3870967741937,310.0,-34.565318065999996,-58.44175186020001,,6.0,"Piso  en  Belgrano  entre  Villanueva y Luis  Maria  Campos, la  propiedad cuenta  con  palier privado , toilette de recepción,  4 dormitorios todos  con salida a balcon.La  suite principal  cuenta   con  un  amplio  vestidor. Los  dormitorios  restantes cuentan  con un amplio bano completo.El  departamento  tiene  doble circulación  en todos sus ambientes.Amplia Cocina  luminosa , entrada de servicio. Baulera individual, gimnasio, pileta solarium.El edificio  cuenta  con  cámaras de  seguridad en  todos los  espacios comunes.Dos cocheras  fijas Cubiertas. ",Impecable planta  5 Ambientes en La Mejor Zona de Belgrano,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,96100.0,7069.5058303974865,
220,Belgrano,3447.753623188406,69.0,-34.5652650561,-58.438232801999995,,2.0,"El edificio está situado en el barrio de  las Cañitas en la ciudad  autonoma de Buenos Aires, en la calle Soldado de la Independencia 1100.Consta de 2 Subsuelos, Planta Baja y 9 pisos, con destino de vivienda multifamiliar y cocheras.El edificio se desarrolla entre medianeras, bajo el esquema de enrase. Respeta la altura de los edificios linderos y el peril de retiros. El piso 7 posee un retiro de 2 m al frente y en el piso 8 el retiro es de 1 metro al frente y de 4 mts al contrafrente generando terrazas en los respectivos departamentos.En el  primer y segundo subsuelo se ubican 16 cocheras simples y 4 bauleras. 8 cocheras por nivel. El acceso vehicular a las cocheras es atraves de un ascensor montavehiculos.La planta baja cuenta con un local al frente con la porteria y un departamento de 1 ambiente al contrafrente, el cual tiene patio propio. La planta del primer piso esta compuesta por 4 departamentos, dos al frente y 2 al contrafrente. Los departamentos son de 1 ambiente divisible y 2 ambientes con una superficie que va desde 58 a 67 mts. Los de 1 ambiente cuentan con acceso a un patio interno.La planta tipo se desarrolla de los Pisos 2º al 6º  donde se desarrollan 4 departamentos, dos al frente y dos al contrafrente, cada uno con su expansión. Los departamentos son de 1 ambiente divisible con iluminacion y ventilacion al patio de luz, y 2  ambientes con una superficie propia que va aproximadamente desde los 55 a los 59m2.  La planta del piso 7 se compone por tres departamentos, 2 al contrafrente y uno al frente con un retiro que genera una gran terraza. Las superficies son entre 55 a 105 mts aproximadamente.En el piso 8 se proyectaron dos departamentos. Un duplex al frente, en su planta baja se desarrolla cocina, comedor, toilette y los dormitorios, y en planta alta una terraza como posible futura expansion. Al contrafrente se desarrolla un departamento de 3 ambientes con retiro y con una amplia terraza. Estos departamentos tienen una superficie cubierta que va aproximadamente entre los 90 y 100 m2.El piso 9º cuenta con un solarium y pileta. Ademas se encuentran las areas tecnicas de tanque de reserva, y sala de termotanques de agua caliente central.",Ultimas Unidades,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,4761.0,6700.072819700142,
